id,box_orig,box_n,doc,# language,,,doc_filename,fecha_orig,"description_excel_divided
",_material,year,keywords,_height,_width,_time,_description,xidold,nombre_nuevo,rvtipo_esp,,content category,filename_orig_,description_filename_orig,th_filename,,tkb_subido,tkb_textto_regiones,tkb_etiquetas_tags,,kg_en_proceso,kg_relaciones,kg_entidades
40,box_55,55,6,,,,,no date,,photographsoftheteam,box_55,photo,,,,photographs of the team,sbc_b_55_photographsoftheteam_p_02_high.jpg,sbc_b_55_photographsoftheteam_p_02_high.jpg,foto,ph,,staffordbeercollectionphotographsoftheteam_p_02.tiff,photographsoftheteam,sbc_b_55_photographsoftheteam_p_02_th.png,,r,,,,,,
41,box_55,55,6,,,,,no date,,photographsoftheteam,box_55,photo,,,,photographs of the team,sbc_b_55_photographsoftheteam_p_03_high.jpg,sbc_b_55_photographsoftheteam_p_03_high.jpg,foto,ph,,staffordbeercollectionphotographsoftheteam_p_03.tiff,photographsoftheteam,sbc_b_55_photographsoftheteam_p_03_th.png,,r,,,,,,
42,box_55,55,6,,,,,no date,,photographsoftheteam,box_55,photo,,,,photographs of the team,sbc_b_55_photographsoftheteam_p_04_high.jpg,sbc_b_55_photographsoftheteam_p_04_high.jpg,foto,ph,,staffordbeercollectionphotographsoftheteam_p_04.tiff,photographsoftheteam,sbc_b_55_photographsoftheteam_p_04_th.png,,r,,,,,,
43,box_55,55,6,,,,,no date,,photographsoftheteam,box_55,photo,,,,photographs of the team,sbc_b_55_photographsoftheteam_p_05_high.jpg,sbc_b_55_photographsoftheteam_p_05_high.jpg,foto,ph,,staffordbeercollectionphotographsoftheteam_p_05.tiff,photographsoftheteam,sbc_b_55_photographsoftheteam_p_05_th.png,,r,,,,,,
44,box_55,55,6,,,,,no date,,photographsoftheteam,box_55,photo,,,,photographs of the team,sbc_b_55_photographsoftheteam_p_06_high.jpg,sbc_b_55_photographsoftheteam_p_06_high.jpg,foto,ph,,staffordbeercollectionphotographsoftheteam_p_06.tiff,photographsoftheteam,sbc_b_55_photographsoftheteam_p_06_th.png,,r,,,,,,
45,box_55,55,6,,,,,no date,,photographsoftheteam,box_55,photo,,,,photographs of the team,sbc_b_55_photographsoftheteam_p_07_high.jpg,sbc_b_55_photographsoftheteam_p_07_high.jpg,foto,ph,,staffordbeercollectionphotographsoftheteam_p_07.tiff,photographsoftheteam,sbc_b_55_photographsoftheteam_p_07_th.png,,r,,,,,,
46,box_55,55,6,,,,,no date,,photographsoftheteam,box_55,photo,,,,photographs of the team,sbc_b_55_photographsoftheteam_p_08_high.jpg,sbc_b_55_photographsoftheteam_p_08_high.jpg,foto,ph,,staffordbeercollectionphotographsoftheteam_p_08.tiff,photographsoftheteam,sbc_b_55_photographsoftheteam_p_08_th.png,,r,,,,,,
47,box_55,55,6,,,,,no date,,photographsoftheteam,box_55,photo,,,,photographs of the team,sbc_b_55_photographsoftheteam_p_09_high.jpg,sbc_b_55_photographsoftheteam_p_09_high.jpg,foto,ph,,staffordbeercollectionphotographsoftheteam_p_09.tiff,photographsoftheteam,sbc_b_55_photographsoftheteam_p_09_th.png,,r,,,,,,
48,box_55,55,6,,,,,no date,,photographsoftheteam,box_55,photo,,,,photographs of the team,sbc_b_55_photographsoftheteam_p_10_high.jpg,sbc_b_55_photographsoftheteam_p_10_high.jpg,foto,ph,,staffordbeercollectionphotographsoftheteam_p_10.tiff,photographsoftheteam,sbc_b_55_photographsoftheteam_p_10_th.png,,r,,,,,,
49,box_55,55,6,,,,,no date,,photographsoftheteam,box_55,photo,,,,photographs of the team,sbc_b_55_photographsoftheteam_p_11_high.jpg,sbc_b_55_photographsoftheteam_p_11_high.jpg,foto,ph,,staffordbeercollectionphotographsoftheteam_p_11.tiff,photographsoftheteam,sbc_b_55_photographsoftheteam_p_11_th.png,,r,,,,,,
